id,criteria,ADMIN,STAFF,NAAC_COD,DEPT_COD,TEACHER,CLUB,OTHER,assigned_clubs,ordering,cr_index,is_active,is_enabled
106,c5_3_2B,f,f,t,f,f,t,f,"{'"FORUMS'": '"True'", '"STUDENT_ADVISOR'": '"True'"}",532.2,5,t,t
107,c5_3_3,f,f,f,t,f,t,f,"{'"BZONE'": '"True'", '"FORUMS'": '"True'"}",533,5,t,t
108,c5_4_1A,f,f,f,t,f,t,f,"{'"ALUMNI'": '"True'"}",541.1,5,t,t
109,c5_4_2,f,f,f,t,f,f,f,"{'"ALUMNI'": '"True'"}",542,5,t,t
110,c6_1_1,f,f,t,f,f,f,f,{},611,6,t,t
111,c6_1_2,f,f,t,f,f,f,f,{},612,6,t,t
112,c6_2_1,f,f,f,t,f,f,f,{},621,6,t,t
113,c6_2_2,f,f,t,f,f,f,f,{},622,6,t,t
114,c6_2_3,f,f,t,f,f,f,f,{},623,6,t,t
115,c6_2_4,f,f,t,f,f,f,f,{},624,6,t,t
116,c6_3_1,f,f,t,f,f,f,f,{},631,6,t,t
117,c6_3_2,f,f,f,t,t,t,f,"{'"OFFICE'": '"True'", '"ADMINISTRATOR'": '"True'"}",632,6,t,t
118,c6_3_3,f,f,t,f,f,f,f,{},633,6,t,t
119,c6_3_4,f,f,f,t,t,f,f,{},634,6,t,t
120,c6_3_5,f,f,t,f,f,f,f,{},635,6,t,t
121,c6_4_1,f,f,t,f,f,f,f,{},641,6,t,t
122,c6_4_2,f,f,t,f,f,f,f,{},642,6,t,t
123,c6_4_3,f,f,t,f,f,f,f,{},643,6,t,t
124,c6_5_1,f,f,t,f,f,f,f,{},651,6,t,t
125,c6_5_2,f,f,t,f,f,f,f,{},652,6,t,t
126,c6_5_3,f,f,t,f,f,f,f,{},653,6,t,t
127,c6_5_4,f,f,t,f,f,f,f,{},654,6,t,t
128,c6_5_5,f,f,t,f,f,f,f,{},655,6,t,t
129,c7_1_1,f,f,t,t,f,t,f,"{'"WOMENS'": '"True'"}",711,7,t,t
130,c7_1_2,f,f,t,t,f,f,f,"{'"SEXUAL_GRIVENCE'": '"True'"}",712,7,t,f
131,c7_1_2A,f,f,t,t,f,t,f,"{'"SEXUAL_GRIVENCE'": '"True'"}",712.1,7,t,t
132,c7_1_2B,f,f,t,t,f,t,f,"{'"SEXUAL_GRIVENCE'": '"True'"}",712.2,7,t,t
133,c7_1_2C,f,f,t,t,f,t,f,"{'"SEXUAL_GRIVENCE'": '"True'"}",712.3,7,t,t
134,c7_1_3,f,f,t,f,f,f,f,{},713,7,t,t
135,c7_1_4,f,f,t,f,f,t,f,"{'"OFFICE'": '"True'", '"ADMINISTRATOR'": '"True'"}",714,7,t,t
136,c7_1_5,f,f,t,f,f,t,f,"{'"NCC'": '"True'", '"NSS'": '"True'", '"ADMINISTRATOR'": '"True'"}",715,7,t,t
137,c7_1_6,f,f,t,f,f,t,f,"{'"ADMINISTRATOR'": '"True'"}",716,7,t,t
138,c7_1_7,f,f,t,f,f,t,f,"{'"NSS'": '"True'"}",717,7,t,t
139,c7_1_8,f,f,f,f,f,f,f,{},718,7,t,t
140,c7_1_9,f,f,f,f,f,t,f,"{'"OFFICE'": '"True'", '"ADMINISTRATOR'": '"True'"}",719,7,t,t
